"category_id","name","url_name","description","meta_description","meta_keywords","auto_category_term","num_videos","last_video_id","image_id"
2132,"Stand Up (No Gi) - Zone 1 - Collar Tie - Wrist - Offensive - Throws","stand-up-no-gi-zone-1-collar-tie-wrist-offensive-throws","","","","",1,2014,0
2133,"Stand Up (No Gi) - Zone 1 - Collar Tie - Single - Defensive - Throws","stand-up-no-gi-zone-1-collar-tie-single-defensive-throws","","","","",1,2015,0
2134,"Stand Up (No Gi) - Zone 1 - Tie Up - Overhook - Offensive - Throws","stand-up-no-gi-zone-1-tie-up-overhook-offensive-throws","","","","",3,2014,0
2135,"Stand Up (No Gi) - Disengaged - Disengaged - Arm Drag - Offensive - Throws","stand-up-no-gi-disengaged-disengaged-arm-drag-offensive-throws","","","","",2,2014,0
2136,"Stand Up (No Gi) - Zone 2 - Underhook - Double Under Lock - Offensive - Throws","stand-up-no-gi-zone-2-underhook-double-under-lock-offensive-throws","","","","",1,2014,0
2138,"Stand Up (No Gi) - Zone 1 - Wrist Control - Same Side - Defensive - Take Downs","stand-up-no-gi-zone-1-wrist-control-same-side-defensive-take-downs","","","","",3,2013,0
2139,"Stand Up (No Gi) - Zone 2 - Underhook - High Single and Arm - Offensive - Take Downs","stand-up-no-gi-zone-2-underhook-high-single-and-arm-offensive-take-downs","","","","",8,2013,0
2140,"Stand Up (No Gi) - Disengaged - Disengaged - Arm Drag - Offensive - Trips","stand-up-no-gi-disengaged-disengaged-arm-drag-offensive-trips","","","","",3,2013,0
2141,"Stand Up (No Gi) - Zone 3 - Snap Down - Front Headlock - Offensive - Trips","stand-up-no-gi-zone-3-snap-down-front-headlock-offensive-trips","","","","",1,2014,0
2143,"Stand Up (No Gi) - Zone 2 - Underhook - Double Under Lock - Offensive - Trips","stand-up-no-gi-zone-2-underhook-double-under-lock-offensive-trips","","","","",1,2014,0
2144,"Stand Up (No Gi) - Zone 1 - Tie Up - 50 50 - Offensive - Trips","stand-up-no-gi-zone-1-tie-up-50-50-offensive-trips","","","","",2,2014,0
2353,"Guards - Closed Guard - Bottom Dominant (Sleeve Control) - 2 On 1 - Bottom - Back Takes","guards-closed-guard-bottom-dominant-sleeve-control-2-on-1-bottom-back-takes","","","","",2,2015,0
2146,"Stand Up (No Gi) - Zone 1 - Wrist Control - 2 On 1 - Offensive - Trips","stand-up-no-gi-zone-1-wrist-control-2-on-1-offensive-trips","","","","",1,2014,0
2147,"Stand Up (No Gi) - Zone 1 - Collar Tie - Bicep Block - Offensive - Trips","stand-up-no-gi-zone-1-collar-tie-bicep-block-offensive-trips","","","","",2,2014,0
2149,"Stand Up (No Gi) - Zone 2 - Underhook - High Single and Arm - Offensive - Back Takes","stand-up-no-gi-zone-2-underhook-high-single-and-arm-offensive-back-takes","","","","",2,2013,0
2150,"Stand Up (No Gi) - Zone 1 - Tie Up - 50 50 - Offensive - Back Takes","stand-up-no-gi-zone-1-tie-up-50-50-offensive-back-takes","","","","",3,2013,0
2151,"Stand Up (No Gi) - Zone 2 - Whizzer - Whizzer - Defensive - Back Takes","stand-up-no-gi-zone-2-whizzer-whizzer-defensive-back-takes","","","","",1,2014,0
2152,"Stand Up (No Gi) - Zone 3 - Shot - Single Leg (Standing) - Offensive - Back Takes","stand-up-no-gi-zone-3-shot-single-leg-standing-offensive-back-takes","","","","",1,2014,0
2153,"Stand Up (No Gi) - Zone 1 - Inside Control - Double Bicep - Offensive - Back Takes","stand-up-no-gi-zone-1-inside-control-double-bicep-offensive-back-takes","","","","",2,2014,0
2154,"Stand Up (No Gi) - Zone 1 - Tie Up - Bicep Block - Offensive - Back Takes","stand-up-no-gi-zone-1-tie-up-bicep-block-offensive-back-takes","","","","",2,2014,0
2155,"Stand Up (No Gi) - Zone 1 - Wrist Control - 2 On 1 Wrist Grip - Offensive - Take Downs","stand-up-no-gi-zone-1-wrist-control-2-on-1-wrist-grip-offensive-take-downs","","","","",3,2013,0
